Station_ID	 Variable	 DateTime	 Value
USGS000001	FLOW	1/1/1990 0:00	106.72426
USGS000001	FLOW	1/2/1990 0:00	86.152695
USGS000001	FLOW	1/3/1990 0:00	86.053375
USGS000001	FLOW	1/4/1990 0:00	102.45916
USGS000001	FLOW	1/5/1990 0:00	88.80144
USGS000001	FLOW	1/6/1990 0:00	93.08265
USGS000001	FLOW	1/7/1990 0:00	112.06938
USGS000001	FLOW	1/8/1990 0:00	104.12315
USGS000001	FLOW	1/9/1990 0:00	91.06441
USGS000001	FLOW	1/10/1990 0:00	115.079285
USGS000001	FLOW	1/11/1990 0:00	94.52233
USGS000001	FLOW	1/12/1990 0:00	95.93966
USGS000001	FLOW	1/13/1990 0:00	106.37728
USGS000001	FLOW	1/14/1990 0:00	99.46697
USGS000001	FLOW	1/15/1990 0:00	102.39897
USGS000001	FLOW	1/16/1990 0:00	98.07038
USGS000001	FLOW	1/17/1990 0:00	108.85679
USGS000001	FLOW	1/18/1990 0:00	90.06722
USGS000001	FLOW	1/19/1990 0:00	121.713135
USGS000001	FLOW	1/20/1990 0:00	112.72597
USGS000001	FLOW	1/21/1990 0:00	106.024506
USGS000001	FLOW	1/22/1990 0:00	96.698006
USGS000001	FLOW	1/23/1990 0:00	94.69624
USGS000001	FLOW	1/24/1990 0:00	119.775986
USGS000001	FLOW	1/25/1990 0:00	124.69192
USGS000001	FLOW	1/26/1990 0:00	114.11463
USGS000001	FLOW	1/27/1990 0:00	94.74915
USGS000001	FLOW	1/28/1990 0:00	121.89307
USGS000001	FLOW	1/29/1990 0:00	99.81696
USGS000001	FLOW	1/30/1990 0:00	130.61052
USGS000001	FLOW	1/31/1990 0:00	122.51686
USGS000001	FLOW	2/1/1990 0:00	115.91668
USGS000001	FLOW	2/2/1990 0:00	103.15761
USGS000001	FLOW	2/3/1990 0:00	97.80055
USGS000001	FLOW	2/4/1990 0:00	108.90105
USGS000001	FLOW	2/5/1990 0:00	120.32746
USGS000001	FLOW	2/6/1990 0:00	130.26662
USGS000001	FLOW	2/7/1990 0:00	98
USGS000001	FLOW	2/8/1990 0:00	119.68318
USGS000001	FLOW	2/9/1990 0:00	130.86879
USGS000001	FLOW	2/10/1990 0:00	128.99733
USGS000001	FLOW	2/11/1990 0:00	114.84184
USGS000001	FLOW	2/12/1990 0:00	105.8138
USGS000001	FLOW	2/13/1990 0:00	101.28689
USGS000001	FLOW	2/14/1990 0:00	102.65195
USGS000001	FLOW	2/15/1990 0:00	132.24947
USGS000001	FLOW	2/16/1990 0:00	126.40796
USGS000001	FLOW	2/17/1990 0:00	106.316376
USGS000001	FLOW	2/18/1990 0:00	112.06095
USGS000001	FLOW	2/19/1990 0:00	133.3063
USGS000001	FLOW	2/20/1990 0:00	114.33344
USGS000001	FLOW	2/21/1990 0:00	129.00829
USGS000001	FLOW	2/22/1990 0:00	109.15473
USGS000001	FLOW	2/23/1990 0:00	105.5083
USGS000001	FLOW	2/24/1990 0:00	128.2232
USGS000001	FLOW	2/25/1990 0:00	124.98271
USGS000001	FLOW	2/26/1990 0:00	106.67609
